feature,importance
v_3,25.010909789104396
v_0,19.82036911397734
v_12,15.450075655472734
power,5.532306319984556
v_8,5.269647352162444
v_9,3.303034667810201
kilometer,3.082522058211265
v_6,2.998515400128582
v_14,2.960955834808525
reg_date_diff,2.6220328209614037
v_1,2.3663495062794375
v_10,2.3093825618638553
car_age,1.6336797078032543
reg_year,1.5878108493498577
v_13,1.152390609501493
v_2,0.9122407986220687
v_4,0.8752907383839652
v_11,0.8037250193494211
v_5,0.538814105693497
notRepairedDamage,0.38871833721703525
brand,0.330538518327931
model,0.28980847544860044
v_7,0.16411228149199136
bodyType,0.15769720332645643
fuelType,0.14451995132560555
regionCode,0.06272519712532294
reg_month,0.055136567602025344
gearbox,0.0521092963221662
name,0.04922936355446533
creat_date_diff,0.031173499125653162
SaleID,0.022231048172769642
reg_day,0.010572851780813299
creat_day,0.010522125274902134
creat_month,0.0008523744359642622
seller,0.0
creat_year,0.0
offerType,0.0
