iter	Passed	Remaining
0	285	4282008
1	455	3417097
2	608	3041959
3	751	2817808
4	900	2700941
5	1054	2634898
6	1228	2631182
7	1372	2572846
8	1521	2533684
9	1685	2526258
10	1831	2495297
11	1978	2470767
12	2121	2445524
13	2270	2430590
14	2412	2410091
15	2551	2389113
16	2704	2383457
17	2850	2372748
18	3009	2372990
19	3150	2359433
20	3298	2352588
21	3443	2344515
22	3586	2335535
23	3732	2329197
24	3877	2322392
25	4024	2317984
26	4164	2309266
27	4303	2301230
28	4457	2301246
29	4614	2302644
30	4759	2297986
31	4914	2298912
32	5077	2302895
33	5223	2299181
34	5376	2298997
35	5513	2291967
36	5653	2286264
37	5797	2282832
38	5949	2282193
39	6095	2279805
40	6238	2276160
41	6372	2269662
42	6518	2267480
43	6669	2266999
44	6808	2262611
45	6951	2259748
46	7086	2254660
47	7219	2248912
48	7363	2246890
49	7514	2246791
50	7649	2242087
51	7797	2241570
52	7957	2244211
53	8109	2244455
54	8265	2246044
55	8409	2244233
56	8545	2240344
57	8699	2241105
58	8850	2241308
59	8989	2238338
60	9125	2234764
61	9270	2233699
62	9409	2231001
63	9556	2230283
64	9703	2229543
65	9865	2232241
66	10014	2232135
67	10165	2232250
68	10321	2233406
69	10507	2241003
70	10677	2245200
71	10844	2248408
72	10994	2248215
73	11145	2248132
74	11289	2246585
75	11439	2246356
76	11593	2246915
77	11748	2247547
78	11884	2244668
79	12031	2243805
80	12172	2242056
81	12316	2240735
82	12455	2238560
83	12604	2238256
84	12749	2237140
85	12889	2235350
86	13036	2234637
87	13179	2233285
88	13345	2235911
89	13507	2237730
90	13655	2237256
91	13797	2235714
92	13935	2233662
93	14084	2233368
94	14220	2231145
95	14354	2228563
96	14504	2228513
97	14655	2228541
98	14811	2229306
99	14967	2230133
100	15120	2230459
101	15275	2231079
102	15422	2230559
103	15561	2228861
104	15706	2228101
105	15845	2226414
106	15990	2225725
107	16133	2224630
108	16273	2223195
109	16409	2221230
110	16553	2220410
111	16705	2220586
112	16851	2220066
113	16994	2219179
114	17137	2218131
115	17291	2218710
116	17427	2216915
117	17563	2215118
118	17707	2214345
119	17863	2215094
120	18010	2214715
121	18144	2212774
122	18279	2210923
123	18436	2211783
124	18576	2210642
125	18725	2210552
126	18873	2210323
127	19011	2208929
128	19148	2207439
129	19285	2205978
130	19430	2205469
131	19566	2203948
132	19725	2204905
133	19873	2204729
134	20014	2203766
135	20159	2203295
136	20309	2203353
