feature,importance
v_3,26.245510052862485
v_0,17.78490723696413
v_12,16.97132655447697
v_8,4.252748651230965
power,3.5515404109893587
v_6,2.939822572471913
v_9,2.8382602914886577
kilometer,2.7143400549520558
v_10,2.429305554972733
v_1,2.0577783942186674
age_segment,2.0071502963410386
power_displacement_ratio,1.6088563476652296
v_14,1.5674159087147392
v_2,0.9827244129792777
vehicle_age_days,0.9164479730222292
reg_year,0.9050757527006492
brand_price_std,0.9020479853829592
model_price_median,0.7833416295221015
v_11,0.7457394269678052
car_age_from_now,0.7236795933839537
v_4,0.6335563100105847
v_5,0.6290883720839592
vehicle_age_years,0.5822545466378759
model_price_std,0.5285253876946374
bodyType_freq,0.454059813952385
km_per_year,0.4070204118355796
age_price_mean,0.39860013159815305
notRepairedDamage,0.3697528852951593
v_13,0.29765833820787896
age_price_median,0.26232773241450624
brand_price_median,0.25762408792711977
brand_price_mean,0.23010538166282304
model_price_mean,0.2271025950964508
brand_price_count,0.1898838101972713
bodyType,0.1730011618936772
brand_freq,0.16136947453205994
model_price_ratio,0.1531753584263448
v_7,0.13811226500106336
model_freq,0.13771168349213808
notRepairedDamage_freq,0.1102339839983594
fuelType,0.10568234972674642
age_price_std,0.08994386545435892
power_model,0.08768951389416027
reg_month,0.08333844653868049
model_price_count,0.07105113411518336
brand_price_ratio,0.05506028791320866
regionCode,0.05317414667475526
model_num,0.04684057174012478
fuelType_freq,0.034016699837392965
brand,0.031029941253074365
gearbox,0.025982822999844717
creat_day,0.01162672642475857
gearbox_freq,0.010259183287268124
reg_day,0.008667843877508444
creat_month,0.005693413821939046
brand_model,0.005512742143646157
is_new_car,0.0035088590973191397
reg_season,0.0016891825527061224
creat_season,4.900858773824354e-05
creat_year,4.267935754674453e-07
v_0_outlier,0.0
model,0.0
kilometer_outlier,0.0
v_6_missing,0.0
power_missing,0.0
kilometer_missing,0.0
v_0_missing,0.0
v_2_missing,0.0
v_3_missing,0.0
v_4_missing,0.0
v_5_missing,0.0
v_7_missing,0.0
power_outlier,0.0
v_8_missing,0.0
v_9_missing,0.0
v_10_missing,0.0
v_11_missing,0.0
v_12_missing,0.0
v_13_missing,0.0
v_14_missing,0.0
v_1_missing,0.0
