feature,importance
v_0,109927485101126.0
v_12,63081538024705.0
v_3,58751217167239.0
v_10,11326249797004.0
power,5650307841906.0
v_6,2725637463722.0
reg_date_diff,2556214779148.0
v_14,2512780170682.0
kilometer,2361969581002.0
v_9,2042015160899.0
v_1,1738296800538.0
v_8,1504287129588.0
reg_year,1094001607964.0
v_5,1032867931078.0
v_13,974309311569.5
v_4,953007183248.0
v_11,889757924090.0
v_2,714866502585.0
v_7,622879368966.0
notRepairedDamage,357200328090.0
SaleID,347881069071.0
model,344680594973.0
regionCode,297779517622.0
name,294380971223.0
brand,271531743980.0
car_age,206243899180.0
creat_day,199230135338.0
creat_date_diff,166360195865.0
reg_day,142656715957.0
fuelType,137120221583.0
reg_month,136897552865.0
bodyType,117217257847.0
gearbox,61732543150.0
creat_month,3138770164.0
offerType,0.0
seller,0.0
creat_year,0.0
