iter	Passed	Remaining
0	278	834665
1	416	623756
2	547	546966
3	675	505747
4	803	481586
5	935	466908
6	1068	456908
7	1191	445559
8	1313	436609
9	1448	432990
10	1576	428331
11	1708	425408
12	1840	422991
13	1975	421250
14	2112	420450
15	2244	418534
16	2371	416119
17	2505	415020
18	2643	414788
19	2780	414263
20	2918	413954
21	3050	412973
22	3184	412154
23	3327	412619
24	3461	411919
25	3600	411840
26	3743	412240
27	3886	412482
28	4032	413119
29	4174	413323
30	4306	412485
31	4448	412596
32	4585	412281
33	4727	412386
34	4858	411607
35	5000	411717
36	5134	411215
37	5278	411439
38	5411	410846
39	5553	410963
40	5694	410949
41	5842	411457
42	6004	412920
43	6140	412504
44	6271	411813
45	6405	411361
46	6557	412024
47	6691	411550
48	6829	411308
49	6967	411074
50	7101	410643
51	7231	409997
52	7364	409509
53	7503	409384
54	7645	409359
55	7777	408850
56	7916	408742
57	8064	409067
58	8194	408487
59	8325	407939
60	8463	407751
61	8592	407175
62	8724	406721
63	8850	406003
64	8984	405694
65	9110	405000
66	9253	405080
67	9392	404961
68	9525	404619
69	9651	403979
70	9782	403565
71	9916	403264
72	10054	403124
73	10186	402795
74	10319	402461
75	10472	402914
76	10612	402846
77	10755	402903
78	10896	402884
79	11035	402801
80	11184	403051
81	11317	402739
82	11448	402352
83	11589	402315
84	11719	401920
85	11851	401588
86	11989	401432
87	12123	401178
88	12259	400969
89	12391	400662
90	12522	400295
91	12649	399840
92	12787	399712
93	12921	399471
94	13053	399153
95	13197	399209
96	13330	398952
97	13470	398890
98	13612	398898
99	13749	398735
100	13962	400759
101	14183	402972
102	14361	403922
103	14619	407098
104	14781	407539
105	14953	408268
106	15139	409343
107	15314	410089
108	15498	411054
109	15642	410969
110	15791	410994
111	15950	411287
112	16132	412166
113	16315	413031
114	16494	413786
115	16672	414506
116	16838	414913
117	17025	415818
118	17184	416042
119	17361	416682
120	17542	417391
121	17687	417239
122	17831	417077
123	17979	417010
124	18113	416600
125	18256	416413
126	18397	416190
127	18535	415895
128	18679	415728
129	18819	415486
130	18958	415209
131	19095	414901
132	19237	414688
133	19377	414444
134	19507	413985
135	19648	413776
136	19809	413969
137	19951	413784
138	20106	413855
139	20254	413771
140	20392	413500
141	20534	413287
142	20677	413107
143	20830	413131
144	20971	412930
145	21106	412591
146	21239	412216
