feature,importance
v_8,0.5325485891663544
v_9,0.14075990101746458
v_5,0.11328776386411407
v_6,0.11238606473409386
v_7,0.055086411227175024
gearbox,0.0076726631120470476
v_13,0.007479188540766678
v_12,0.007140488884610458
v_3,0.00658022173254821
v_4,0.005192021309655384
v_11,0.0028034017577454923
notRepairedDamage,0.0014596671550764844
fuelType,0.0013188933451263208
kilometer,0.0012857978543817125
creatYear,0.0011343921151996917
bodyType,0.001069141547151533
v_10,0.0010031459871921616
car_age,0.0005323674001098151
creatMonth,0.0005186251498551165
v_2,0.0003950615687122944
v_1,0.00012944746823817082
power,9.343136649029248e-05
regYear,3.8134124310566274e-05
v_14,2.8003713409981087e-05
brand,2.6164424862019195e-05
regMonth,2.1488882185506942e-05
model,9.502747424564179e-06
regionCode,1.9803698499793865e-08
v_0,0.0
