SaleID,price
200000,1170
200001,1170
200002,4510
200003,701
200004,1010
200005,483
200006,823
200007,2160
200008,8800
200009,1170
200010,1170
200011,1630
200012,2990
200013,4840
200014,1170
200015,823
200016,1480
200017,5600
200018,9000
200019,4580
200020,26000
200021,6400
200022,3080
200023,1320
200024,701
200025,6000
200026,2340
200027,13100
200028,8200
200029,13100
200030,21000
200031,16800
200032,6200
200033,11900
200034,2250
200035,4090
200036,11000
200037,4510
200038,1390
200039,1480
200040,1390
200041,18100
200042,4710
200043,10100
200044,23000
200045,9800
200046,25000
200047,16800
200048,4090
200049,3080
200050,762
200051,2710
200052,2710
200053,2710
200054,13100
200055,11000
200056,6900
200057,4300
200058,2340
200059,4300
200060,6600
200061,2800
200062,5300
200063,6200
200064,1170
200065,1630
200066,762
200067,10300
200068,4710
200069,23000
200070,10200
200071,6000
200072,7300
200073,16800
200074,6000
200075,9600
200076,2710
200077,1170
200078,640
200079,1320
200080,2250
200081,1170
200082,1880
200083,307
200084,823
200085,1010
200086,4580
200087,6000
200088,5400
200089,38000
200090,4940
200091,4840
200092,2910
200093,16800
200094,8300
200095,6600
200096,1630
200097,2600
200098,3570
200099,26000
200100,26000
200101,14400
200102,6400
200103,10600
200104,6200
200105,5200
200106,9900
200107,5400
200108,14400
200109,6800
200110,1630
200111,1100
200112,640
200113,256
200114,1990
200115,2910
200116,25000
200117,26000
200118,70000
200119,7400
200120,7300
200121,1320
200122,3190
200123,4090
200124,35000
200125,4580
200126,6300
200127,11900
200128,2600
200129,5500
200130,2710
200131,2160
200132,823
200133,1390
200134,823
200135,2070
200136,2910
200137,2070
200138,8300
200139,5800
200140,3570
200141,2600
200142,4190
200143,5600
200144,2340
200145,4580
200146,1560
200147,2530
200148,1880
200149,1390
200150,7300
200151,2600
200152,1990
200153,1010
200154,6400
200155,5300
200156,18100
200157,11000
200158,13100
200159,5600
200160,8500
200161,7400
200162,9000
200163,6200
200164,27000
200165,26000
200166,41000
200167,14400
200168,42000
200169,4840
200170,4510
200171,7300
200172,3290
200173,27000
200174,3190
200175,5600
200176,6600
200177,5600
200178,4840
200179,4840
200180,2530
200181,13100
200182,3570
200183,2600
200184,2070
200185,2800
200186,3390
200187,6800
200188,11900
200189,10600
200190,4190
200191,2710
200192,1390
200193,2600
200194,5200
200195,3450
200196,2250
200197,19400
200198,1880
200199,5200
200200,823
200201,5800
200202,1630
200203,2530
200204,5300
200205,4300
200206,2070
200207,3450
200208,5200
200209,3080
200210,13100
200211,7400
200212,11000
200213,11000
200214,23000
200215,9000
200216,6000
200217,1990
200218,6900
200219,1560
200220,2530
200221,4300
200222,2530
200223,1990
200224,11000
200225,3450
200226,2250
200227,6300
200228,2340
200229,6900
200230,6600
200231,5800
200232,2250
200233,6600
200234,2800
200235,8600
200236,8400
200237,7000
200238,11000
200239,11900
200240,29000
200241,14400
200242,7200
200243,3990
200244,5800
200245,4090
200246,4190
200247,2710
200248,4420
200249,14400
200250,35000
200251,14400
200252,7300
200253,11900
200254,11000
200255,10500
200256,5200
200257,10600
200258,4510
200259,7100
200260,2250
200261,4510
200262,3080
200263,8600
200264,6000
200265,6300
200266,3990
200267,11900
200268,9600
200269,6200
200270,8300
200271,3570
200272,2910
200273,13100
200274,2250
200275,11900
200276,1880
200277,3080
200278,1480
200279,7100
200280,2710
200281,2800
200282,10900
200283,5800
200284,2340
200285,5200
200286,3450
200287,11900
200288,13100
200289,7300
200290,8800
200291,10200
200292,4840
200293,9000
200294,5300
200295,3190
200296,2530
200297,5500
200298,2160
200299,4420
200300,4190
200301,5200
200302,2340
200303,5500
200304,1630
200305,4190
200306,1880
200307,11000
200308,1250
200309,1010
200310,701
200311,701
200312,7300
200313,1390
200314,6200
200315,3390
200316,36000
200317,4710
200318,4300
200319,10200
200320,9100
200321,35000
200322,23000
200323,11000
200324,27000
200325,9200
200326,6000
200327,18100
200328,2250
200329,6400
200330,1990
200331,1630
200332,8300
200333,1010
200334,640
200335,351
200336,359
200337,1100
200338,3570
200339,13100
200340,32000
200341,6600
200342,8600
200343,2910
200344,5300
200345,6600
200346,4190
200347,11000
200348,12000
200349,4840
200350,8900
