SaleID,price
200000,1700
200001,1700
200002,4800
200003,1200
200004,1500
200005,960
200006,1400
200007,2700
200008,8100
200009,1700
200010,1700
200011,2300
200012,3600
200013,5100
200014,1700
200015,1400
200016,2100
200017,5800
200018,8300
200019,4900
200020,20000
200021,6500
200022,3700
200023,1900
200024,1200
200025,6100
200026,2900
200027,12000
200028,7600
200029,12000
200030,17000
200031,14000
200032,6300
200033,11000
200034,2800
200035,4400
200036,10000
200037,4800
200038,2000
200039,2100
200040,2000
200041,15000
200042,5000
200043,9200
200044,18000
200045,9000
200046,19000
200047,14000
200048,4400
200049,3700
200050,1300
200051,3300
200052,3300
200053,3300
200054,12000
200055,10000
200056,6900
200057,4600
200058,2900
200059,4600
200060,6700
200061,3400
200062,5500
200063,6300
200064,1700
200065,2300
200066,1300
200067,9500
200068,5000
200069,18000
200070,9400
200071,6100
200072,7300
200073,14000
200074,6100
200075,8800
200076,3300
200077,1700
200078,1100
200079,1900
200080,2800
200081,1700
200082,2400
200083,670
200084,1400
200085,1500
200086,4900
200087,6100
200088,5600
200089,28000
200090,5200
200091,5100
200092,3500
200093,14000
200094,7700
200095,6600
200096,2300
200097,3200
200098,4200
200099,20000
200100,20000
200101,13000
200102,6500
200103,9700
200104,6300
200105,5400
200106,9100
200107,5600
200108,13000
200109,6800
200110,2300
200111,1600
200112,1100
200113,570
200114,2500
200115,3500
200116,19000
200117,20000
200118,52000
200119,7400
200120,7300
200121,1900
200122,3800
200123,4400
200124,26000
200125,4900
200126,6400
200127,11000
200128,3200
200129,5700
200130,3300
200131,2700
200132,1400
200133,2000
200134,1400
200135,2600
200136,3500
200137,2600
200138,7700
200139,5900
200140,4200
200141,3200
200142,4500
200143,5800
200144,2900
200145,4900
200146,2200
200147,3100
200148,2400
200149,2000
200150,7300
200151,3200
200152,2500
200153,1500
200154,6500
200155,5500
200156,15000
200157,10000
200158,12000
200159,5800
200160,7900
200161,7400
200162,8300
200163,6300
200164,21000
200165,20000
200166,30000
200167,13000
200168,31000
200169,5100
200170,4800
200171,7300
200172,3900
200173,21000
200174,3800
200175,5800
200176,6700
200177,5800
200178,5100
200179,5100
200180,3100
200181,12000
200182,4200
200183,3200
200184,2600
200185,3400
200186,4000
200187,6800
200188,11000
200189,9700
200190,4500
200191,3300
200192,2000
200193,3200
200194,5400
200195,4100
200196,2800
200197,16000
200198,2400
200199,5400
200200,1400
200201,6000
200202,2300
200203,3100
200204,5500
200205,4600
200206,2600
200207,4100
200208,5400
200209,3700
200210,12000
200211,7400
200212,10000
200213,10000
200214,18000
200215,8300
200216,6100
200217,2500
200218,6900
200219,2200
200220,3100
200221,4600
200222,3100
200223,2500
200224,10000
200225,4100
200226,2800
200227,6400
200228,2900
200229,6900
200230,6700
200231,5900
200232,2800
200233,6600
200234,3400
200235,8000
200236,7800
200237,7000
200238,10000
200239,11000
200240,22000
200241,13000
200242,7200
200243,4300
200244,5900
200245,4400
200246,4500
200247,3300
200248,4700
200249,13000
200250,26000
200251,13000
200252,7300
200253,11000
200254,10000
200255,9600
200256,5400
200257,9700
200258,4800
200259,7100
200260,2800
200261,4800
200262,3700
200263,8000
200264,6100
200265,6400
200266,4300
200267,11000
200268,8800
200269,6300
200270,7700
200271,4200
200272,3500
200273,12000
200274,2800
200275,11000
200276,2400
200277,3700
200278,2100
200279,7100
200280,3300
200281,3400
200282,9900
200283,5900
200284,2900
200285,5400
200286,4100
200287,11000
200288,12000
200289,7300
200290,8100
200291,9300
200292,5100
200293,8300
200294,5500
200295,3800
200296,3100
200297,5700
200298,2700
200299,4700
200300,4500
200301,5400
200302,2900
200303,5700
200304,2300
200305,4500
200306,2400
200307,10000
200308,1800
200309,1500
200310,1200
200311,1200
200312,7300
200313,2000
200314,6300
200315,4000
200316,27000
200317,5000
200318,4600
200319,9300
200320,8400
200321,26000
200322,18000
200323,10000
200324,21000
200325,8500
200326,6100
200327,15000
200328,2800
200329,6500
200330,2500
200331,2300
200332,7700
200333,1500
200334,1100
200335,750
200336,770
200337,1600
200338,4200
200339,12000
200340,24000
200341,6700
200342,8000
200343,3500
200344,5500
200345,6700
200346,4500
200347,10000
200348,11000
200349,5100
200350,8200
200351,2100
200352,1600
200353,830
200354,2000
200355,780
200356,2900
200357,2000
200358,4200
200359,6700
200360,13000
200361,2900
200362,3000
200363,2100
200364,4900
200365,7700
200366,4100
200367,6400
200368,6500
200369,6300
200370,3100
200371,6800
200372,1200
200373,1200
200374,590
200375,690
200376,1200
200377,1200
200378,850
200379,1200
200380,3700
200381,5100
200382,27000
200383,4100
200384,4300
200385,990
200386,1700
200387,3700
200388,5700
200389,4800
200390,1700
200391,2800
200392,1400
200393,2300
200394,2400
200395,990
200396,1800
200397,750
200398,1400
200399,890
200400,1500
200401,2800
200402,1300
200403,2100
200404,680
200405,720
200406,1800
200407,2600
200408,7300
200409,11000
200410,9000
200411,7300
200412,16000
200413,13000
200414,8600
200415,9900
200416,7700
200417,5300
200418,5400
200419,12000
200420,14000
200421,3100
200422,5200
200423,4500
200424,30000
200425,13000
200426,9700
200427,15000
200428,3800
200429,5500
200430,3700
200431,4300
200432,4700
200433,12000
200434,3500
200435,5400
200436,6700
200437,1300
200438,860
200439,440
200440,560
200441,780
200442,1100
200443,4200
200444,1900
200445,3300
200446,4500
200447,5900
200448,11000
200449,2400
200450,2800
200451,1300
200452,2600
200453,3200
200454,2000
200455,5100
200456,1100
200457,1300
200458,980
200459,3700
200460,3300
200461,4500
200462,5000
200463,7500
200464,2900
200465,6700
200466,2200
200467,2500
200468,2100
200469,1400
200470,7000
200471,5600
200472,9300
200473,30000
200474,6900
200475,7800
200476,9900
200477,5800
200478,5600
200479,2400
200480,4200
200481,1500
200482,1700
200483,1900
200484,2300
200485,5100
200486,5300
200487,7400
200488,3400
200489,6900
200490,9700
200491,10000
200492,17000
200493,3800
200494,3800
200495,3100
200496,2200
200497,1800
200498,12000
200499,2800
200500,5800
200501,3100
200502,1900
200503,1300
200504,1800
200505,3900
200506,1100
200507,2700
200508,2100
200509,3000
200510,9600
200511,13000
200512,25000
200513,17000
200514,17000
200515,7800
200516,20000
200517,11000
200518,7100
200519,13000
200520,4300
200521,17000
200522,3200
200523,5200
200524,5000
200525,1700
200526,1600
200527,2300
200528,3300
200529,3000
200530,7100
200531,14000
200532,5600
200533,15000
200534,2100
200535,1600
200536,650
200537,950
200538,2900
200539,4700
200540,2500
200541,2600
200542,2200
200543,3400
200544,1900
200545,4000
200546,5600
200547,5600
200548,6300
200549,12000
200550,9200
200551,4400
200552,11000
200553,2700
200554,10000
200555,4400
200556,6000
200557,10000
200558,5800
200559,3200
200560,4400
200561,5100
200562,16000
200563,10000
200564,13000
200565,22000
200566,12000
200567,6100
200568,6300
200569,1400
200570,3000
200571,4900
200572,9200
200573,13000
200574,2500
200575,1700
200576,1800
200577,1700
200578,13000
200579,2000
200580,5800
200581,1700
200582,6800
200583,4200
200584,16000
200585,8300
200586,5900
200587,2500
200588,2800
200589,2400
200590,2200
200591,9400
200592,6600
200593,11000
200594,8200
200595,5500
200596,7800
200597,16000
200598,12000
200599,7800
200600,8900
200601,11000
200602,14000
200603,26000
200604,14000
200605,6500
200606,6300
200607,6300
200608,8200
200609,4200
200610,8500
200611,10000
200612,9800
200613,2200
200614,1400
200615,670
200616,1700
200617,1600
200618,2400
200619,1600
200620,2900
200621,9700
200622,6100
200623,15000
200624,2600
200625,2800
200626,2800
200627,6900
200628,6100
200629,7700
200630,4400
200631,9900
200632,2600
200633,4800
200634,3900
200635,6700
200636,12000
200637,13000
200638,3200
200639,2500
200640,1100
200641,2100
200642,3000
200643,6100
200644,18000
200645,6000
200646,8300
200647,8300
200648,3200
200649,6100
200650,5300
200651,5700
200652,2600
200653,6800
200654,3700
200655,12000
200656,3500
200657,5600
200658,5800
200659,4100
200660,4900
200661,6000
200662,2100
200663,1800
200664,1600
200665,4600
200666,5100
200667,13000
200668,18000
200669,5800
200670,6900
200671,2600
200672,3100
200673,11000
200674,6100
200675,7400
200676,6600
200677,8200
200678,4000
200679,2900
200680,4900
200681,2500
200682,2400
200683,460
200684,480
200685,670
200686,1900
200687,3300
200688,2200
200689,9900
200690,2600
200691,4300
200692,3700
200693,5000
200694,1900
200695,1800
200696,6600
200697,5500
200698,22000
200699,3800
200700,3500
200701,4500
200702,1300
200703,5000
200704,1100
200705,1400
200706,2300
200707,1200
200708,790
200709,1700
200710,1900
200711,6200
200712,10000
200713,14000
200714,7700
200715,26000
200716,4100
200717,4400
200718,3600
200719,3000
200720,2500
200721,1900
200722,1900
200723,2700
200724,1000
200725,1300
200726,490
200727,890
200728,2300
200729,3300
200730,2000
200731,4200
200732,1600
200733,4700
200734,3200
200735,3800
200736,12000
200737,6800
200738,4300
200739,1800
200740,5300
200741,4100
200742,7300
200743,5900
200744,3000
200745,2800
200746,3600
200747,3400
200748,26000
200749,5200
200750,12000
200751,5400
200752,3800
200753,3400
200754,2600
200755,3000
200756,3700
200757,2800
200758,3100
200759,2600
200760,12000
200761,3800
200762,2900
200763,2900
200764,1600
200765,8800
200766,1400
200767,2400
200768,1400
200769,10000
200770,1800
200771,3100
200772,3100
200773,4400
200774,10000
200775,3500
200776,3200
200777,3200
200778,1900
200779,3100
200780,1100
200781,6200
200782,3300
200783,26000
200784,3800
200785,4600
200786,4300
