SaleID,price
200000,1517
200001,2118
200002,6806
200003,1429
200004,2061
200005,1660
200006,990
200007,3223
200008,10606
200009,1299
200010,1239
200011,2862
200012,4785
200013,6861
200014,2061
200015,802
200016,2061
200017,7429
200018,8013
200019,2684
200020,22117
200021,6348
200022,2461
200023,1940
200024,1236
200025,7326
200026,1927
200027,12761
200028,6305
200029,10520
200030,17569
200031,13726
200032,4558
200033,11808
200034,1191
200035,3692
200036,12289
200037,5638
200038,1591
200039,662
200040,916
200041,17903
200042,2725
200043,8013
200044,18407
200045,6044
200046,18545
200047,14776
200048,2676
200049,3577
200050,1414
200051,4574
200052,3377
200053,2006
200054,13164
200055,11241
200056,6753
200057,4670
200058,2579
200059,5403
200060,8188
200061,2850
200062,6295
200063,8008
200064,1517
200065,2118
200066,698
200067,10243
200068,3280
200069,19162
200070,9502
200071,3440
200072,7098
200073,15111
200074,5327
200075,9783
200076,3892
200077,1420
200078,1259
200079,2902
200080,3984
200081,2421
200082,3623
200083,830
200084,1663
200085,1832
200086,6519
200087,4120
200088,3360
200089,29080
200090,3414
200091,1354
200092,2796
200093,15729
200094,8196
200095,6753
200096,2518
200097,1797
200098,1036
200099,20548
200100,20548
200101,10555
200102,4362
200103,10658
200104,6411
200105,5121
200106,9580
200107,4762
200108,14058
200109,7601
200110,1231
200111,2146
200112,1946
200113,864
200114,2347
200115,1797
200116,14882
200117,16804
200118,32471
200119,1150
200120,3314
200121,2982
200122,1471
200123,2862
200124,28865
200125,1716
200126,4120
200127,12855
200128,2572
200129,6177
200130,4210
200131,3377
200132,1900
200133,2862
200134,1820
200135,3743
200136,4241
200137,2089
200138,9293
200139,7032
200140,4293
200141,3091
200142,5437
200143,7097
200144,2930
200145,5947
200146,2633
200147,4196
200148,2553
200149,1644
200150,9490
200151,4047
200152,2192
200153,1239
200154,7029
200155,4648
200156,16038
200157,10188
200158,12272
200159,4696
200160,7899
200161,8303
200162,7739
200163,3253
200164,19266
200165,18545
200166,25585
200167,8569
200168,29294
200169,2049
200170,2461
200171,7349
200172,2341
200173,23376
200174,1699
200175,4344
200176,8119
200177,6524
200178,5723
200179,4914
200180,2167
200181,14352
200182,4471
200183,2696
200184,3197
200185,4279
200186,3878
200187,6867
200188,12077
200189,10473
200190,4120
200191,3440
200192,1956
200193,3949
200194,7261
200195,3291
200196,1420
200197,18487
200198,1145
200199,5151
200200,1007
200201,7819
200202,2290
200203,2999
200204,7090
200205,5532
200206,2198
200207,5087
200208,5933
200209,2849
200210,13062
200211,7132
200212,9227
200213,9776
200214,18647
200215,8013
200216,5129
200217,2049
200218,8984
200219,1940
200220,3263
200221,6399
200222,2822
200223,1717
200224,12409
200225,4120
200226,2117
200227,7847
200228,2421
200229,7670
200230,8119
200231,6307
200232,2358
200233,7719
200234,2893
200235,8975
200236,8574
200237,6550
200238,9147
200239,9730
200240,22632
200241,12134
200242,5506
200243,3749
200244,6914
200245,5151
200246,5472
200247,3028
200248,1867
200249,11844
200250,25828
200251,11436
200252,3872
200253,10938
200254,11058
200255,9452
200256,4487
200257,10650
200258,4865
200259,7929
200260,2822
200261,5087
200262,3650
200263,9340
200264,6891
200265,6159
200266,3193
200267,12100
200268,9444
200269,5838
200270,8945
200271,3411
200272,2913
200273,13892
200274,1259
200275,12598
200276,2288
200277,3263
200278,2221
200279,9272
200280,2862
200281,2501
200282,11997
200283,6593
200284,2227
200285,5953
200286,3068
200287,11394
200288,12821
200289,6086
200290,8013
200291,10061
200292,4407
200293,9433
200294,6382
200295,3503
200296,3377
200297,7183
200298,2728
200299,5278
200300,5532
200301,6204
200302,2919
200303,6983
200304,2633
200305,4579
200306,2072
200307,12889
200308,1660
200309,1105
200310,1145
200311,1137
200312,9833
200313,2061
200314,4407
200315,1652
200316,28865
200317,2862
200318,1474
200319,9079
200320,5935
200321,25828
200322,16599
200323,6094
200324,21739
200325,6753
200326,3869
200327,16851
200328,1431
200329,7298
200330,2288
200331,2049
200332,10192
200333,1500
200334,758
200335,1591
200336,1591
200337,1259
200338,1889
200339,12083
200340,24630
200341,4436
200342,7097
200343,3171
200344,6295
200345,7418
200346,3163
200347,11104
200348,12019
200349,4207
200350,9524
200351,2255
200352,1431
200353,1373
200354,3136
200355,858
200356,4078
200357,2187
200358,3792
200359,7476
200360,14776
200361,2118
200362,2518
200363,1917
200364,5964
200365,9432
200366,3514
200367,6867
200368,7635
200369,6787
200370,2819
200371,8791
200372,1145
200373,1259
200374,1171
200375,1259
200376,2221
200377,2186
200378,1465
200379,1946
200380,1304
200381,3669
200382,28917
200383,2024
200384,2601
200385,1239
200386,1871
200387,4568
200388,7372
200389,5858
200390,1352
200391,3703
200392,1860
200393,3263
200394,3514
200395,1291
200396,2862
200397,1259
200398,2409
200399,1167
200400,2288
200401,4293
200402,1889
200403,3320
200404,956
200405,1036
200406,2438
200407,2026
200408,7899
200409,12787
200410,8013
200411,5151
200412,17229
200413,12375
200414,6966
200415,10291
200416,8443
200417,4362
200418,3720
200419,13600
200420,15374
200421,1511
200422,1832
200423,1311
200424,29377
200425,10938
200426,6479
200427,16610
200428,2692
200429,5537
200430,4568
200431,3890
200432,4931
200433,13866
200434,2244
200435,5609
200436,8992
200437,944
200438,528
200439,1059
200440,1305
200441,893
200442,1488
200443,6007
200444,2127
200445,3738
200446,4579
200447,6582
200448,12512
200449,1820
200450,2862
200451,1660
200452,3743
200453,4007
200454,2244
200455,7057
200456,1179
200457,1259
200458,1098
200459,5043
200460,3927
200461,4768
200462,5810
200463,8735
200464,2524
200465,8162
200466,2478
200467,3160
200468,2518
200469,940
200470,8761
200471,2702
200472,7670
200473,29377
200474,3583
200475,5121
200476,11291
200477,6170
200478,5850
200479,2484
200480,5604
200481,1917
200482,2272
200483,2633
200484,2633
200485,5953
200486,6192
200487,8597
200488,2490
200489,7000
200490,9444
200491,9965
200492,18836
200493,2043
200494,3263
200495,4651
200496,1359
200497,487
200498,15031
200499,2026
200500,6272
200501,4276
200502,2421
200503,1239
200504,2673
200505,5586
200506,979
200507,3824
200508,2461
200509,2364
200510,8815
200511,12019
200512,23662
200513,15569
200514,14195
200515,4430
200516,20788
200517,10532
200518,5163
200519,13176
200520,2460
200521,19088
200522,1580
200523,4865
200524,6783
200525,1691
200526,1689
200527,3403
200528,4293
200529,1850
200530,7691
200531,15084
200532,4106
200533,16586
200534,1259
200535,567
200536,1088
200537,887
200538,3944
200539,6279
200540,2913
200541,3034
200542,3034
200543,4516
200544,1811
200545,4743
200546,6754
200547,5438
200548,5838
200549,12770
200550,9444
200551,3114
200552,11568
200553,1259
200554,11543
200555,3810
200556,5621
200557,11944
200558,6333
200559,2692
200560,3774
200561,4568
200562,16851
200563,8158
200564,11436
200565,22872
200566,10532
200567,4482
200568,7481
200569,790
200570,2853
200571,4568
200572,10105
200573,15073
200574,1059
200575,1190
200576,1029
200577,910
200578,16311
200579,635
200580,5953
200581,1717
200582,6994
200583,3026
200584,17057
200585,8815
200586,5609
200587,2436
200588,3875
200589,2633
200590,1507
200591,10589
200592,6365
200593,11165
200594,8898
200595,3540
200596,6721
200597,17529
200598,11585
200599,6116
200600,8448
200601,9730
200602,12019
200603,26003
200604,12821
200605,3606
200606,5965
200607,7136
200608,9215
200609,2925
200610,8528
200611,11139
200612,10817
200613,1025
200614,1064
200615,1145
200616,2759
200617,2518
200618,3560
200619,940
200620,2925
200621,10451
200622,5723
200623,16541
200624,1630
200625,1431
200626,3034
200627,8196
200628,6753
200629,7899
200630,4029
200631,11562
200632,2112
200633,5151
200634,3669
200635,5953
200636,12924
200637,14767
200638,1872
200639,2232
200640,1717
200641,2873
200642,1665
200643,5913
200644,19758
200645,4373
200646,7899
200647,9717
200648,2245
200649,6730
200650,6376
200651,6330
200652,2289
200653,7418
200654,3434
200655,13336
200656,2718
200657,5723
200658,7052
200659,4001
200660,5609
200661,7590
200662,2232
200663,1872
200664,2032
200665,5093
200666,3491
200667,13508
200668,18922
200669,4281
200670,7395
200671,1626
200672,2444
200673,12821
200674,6056
200675,7098
200676,7098
200677,9502
200678,3892
200679,2776
200680,6348
200681,3343
200682,3263
200683,412
200684,572
200685,973
200686,3016
200687,3720
200688,1757
200689,12255
200690,2318
200691,4131
200692,4677
200693,6645
200694,1646
200695,1611
200696,6097
200697,4568
200698,23768
200699,1891
200700,1889
200701,5936
200702,1047
200703,6814
200704,1013
200705,1527
200706,3817
200707,1889
200708,1128
200709,2410
200710,1270
200711,6411
200712,11139
200713,12478
200714,5025
200715,28556
200716,1751
200717,2364
200718,4950
200719,4030
200720,3148
200721,2387
200722,2747
200723,4030
200724,1505
200725,2215
200726,572
200727,1009
200728,3399
200729,4441
200730,2438
200731,5300
200732,1500
200733,6067
200734,2862
200735,2953
200736,13840
200737,7699
200738,3726
200739,1145
200740,6434
200741,4327
200742,8574
200743,6932
200744,3045
200745,3824
200746,1540
200747,1145
200748,28350
200749,2581
200750,11276
200751,6095
200752,3652
200753,4078
200754,3077
200755,3672
200756,4880
200757,3798
200758,2730
200759,1929
200760,14441
200761,3915
200762,2633
200763,3034
200764,1218
200765,11479
200766,1088
200767,1133
200768,806
200769,12680
200770,1150
200771,3034
200772,3034
200773,4837
200774,12083
200775,3374
200776,3148
200777,4142
200778,2507
200779,4120
200780,1150
200781,5163
200782,758
200783,28590
200784,1465
200785,2564
200786,5208
200787,4007
200788,8859
200789,1682
200790,3892
200791,5094
200792,4087
200793,5609
200794,18951
200795,4407
200796,1442
200797,4407
200798,4883
200799,18951
200800,1832
200801,830
200802,670
200803,2518
200804,4407
200805,6531
200806,5489
200807,1514
200808,3534
200809,1145
200810,3434
200811,1792
200812,4591
200813,18075
200814,2568
200815,1488
200816,9662
200817,3028
200818,6833
200819,6358
200820,2707
200821,5438
200822,6765
200823,4515
200824,1717
200825,11173
200826,2358
200827,5881
200828,12352
200829,12761
200830,9147
200831,5432
200832,6187
200833,1185
200834,1946
200835,1786
200836,2186
200837,3692
200838,2290
200839,6256
200840,4293
200841,6903
200842,4098
200843,4579
200844,7776
200845,1895
200846,5694
200847,4293
200848,1849
200849,12907
200850,967
200851,9958
200852,3343
200853,7670
200854,11740
200855,4407
200856,4206
200857,1877
200858,17239
200859,2288
200860,9147
200861,2181
200862,11396
200863,3263
200864,2781
200865,23771
200866,6181
200867,4579
200868,3377
200869,1420
200870,11276
200871,2461
200872,9152
200873,1259
200874,2316
200875,3818
200876,6411
200877,3566
200878,8145
200879,744
200880,408
200881,464
200882,7126
200883,6637
200884,3774
200885,2118
200886,6685
200887,1637
200888,1223
200889,2415
200890,1373
200891,1167
200892,5380
200893,1488
200894,1971
200895,5425
200896,4568
200897,2902
200898,12598
200899,4865
200900,7441
200901,3964
200902,14776
200903,927
200904,1647
200905,2048
200906,10054
200907,1488
200908,887
200909,464
200910,1826
200911,1437
200912,4293
200913,5694
200914,5214
200915,4567
200916,2598
200917,12375
200918,1225
200919,4579
200920,1259
200921,5861
200922,1248
200923,14263
200924,1488
200925,8452
200926,767
200927,528
200928,4510
200929,1660
200930,10875
200931,2862
200932,3595
200933,16861
200934,8740
200935,4396
200936,7802
200937,21842
200938,12547
200939,5087
200940,3263
200941,830
200942,1110
200943,1797
200944,14218
200945,1717
200946,1557
200947,1076
200948,8119
200949,17469
200950,6750
200951,8815
200952,11733
200953,4487
200954,2644
200955,15838
200956,4940
200957,3377
200958,2015
200959,1734
200960,4407
200961,5489
200962,8454
200963,2579
200964,2622
200965,5586
200966,3377
200967,4980
200968,4579
200969,4178
200970,12512
200971,2420
200972,7355
200973,10675
200974,16931
200975,7177
200976,26690
200977,11253
200978,5346
200979,1007
200980,9421
200981,2232
200982,4676
200983,1231
200984,2117
200985,20039
