SaleID,price
200000,1270
200001,1750
200002,7410
200003,1170
200004,1890
200005,1370
200006,454
200007,3270
200008,13500
200009,600
200010,623
200011,2770
200012,5180
200013,7500
200014,1440
200015,270
200016,1780
200017,8060
200018,6690
200019,508
200020,23500
200021,6590
200022,2130
200023,1600
200024,874
200025,9060
200026,497
200027,12100
200028,4040
200029,7810
200030,17600
200031,12800
200032,595
200033,13600
200034,592
200035,1990
200036,14400
200037,5570
200038,1610
200039,324
200040,602
200041,23100
200042,399
200043,6890
200044,19500
200045,568
200046,16300
200047,16700
200048,2090
200049,3350
200050,637
200051,4190
200052,2910
200053,458
200054,13900
200055,11300
200056,5900
200057,3500
200058,1060
200059,5220
200060,8270
200061,1170
200062,5010
200063,8350
200064,1210
200065,1690
200066,503
200067,11900
200068,194
200069,19200
200070,9120
200071,310
200072,6400
200073,15700
200074,4050
200075,10100
200076,2730
200077,281
200078,339
200079,2980
200080,3610
200081,2100
200082,3600
200083,438
200084,1330
200085,1460
200086,6630
200087,3440
200088,2810
200089,36600
200090,2830
200091,192
200092,1720
200093,16400
200094,7190
200095,5850
200096,2530
200097,1290
200098,381
200099,26700
200100,21900
200101,8460
200102,1750
200103,10200
200104,5470
200105,3940
200106,8470
200107,2030
200108,12800
200109,8570
200110,683
200111,1830
200112,1800
200113,532
200114,2200
200115,1320
200116,13700
200117,15000
200118,49000
200119,203
200120,2910
200121,2510
200122,715
200123,2430
200124,60100
200125,629
200126,3480
200127,14300
200128,1650
200129,5980
200130,3950
200131,2900
200132,1320
200133,2520
200134,1430
200135,3420
200136,3640
200137,702
200138,9770
200139,6960
200140,2840
200141,1430
200142,6120
200143,5580
200144,1290
200145,6040
200146,2370
200147,4170
200148,2570
200149,199
200150,10600
200151,4770
200152,550
200153,502
200154,7330
200155,2250
200156,16000
200157,8410
200158,11300
200159,1900
200160,6930
200161,7160
200162,6260
200163,622
200164,16900
200165,15500
200166,25800
200167,3510
200168,42400
200169,781
200170,2560
200171,8330
200172,2110
200173,32900
200174,714
200175,2680
200176,7750
200177,6140
200178,4890
200179,3570
200180,918
200181,16700
200182,4460
200183,1430
200184,2200
200185,4620
200186,3420
200187,4520
200188,11800
200189,10900
200190,3490
200191,3040
200192,981
200193,4030
200194,7820
200195,2350
200196,736
200197,21400
200198,1240
200199,4370
200200,440
200201,8550
200202,2050
200203,1520
200204,8050
200205,5090
200206,834
200207,4500
200208,5340
200209,1170
200210,13700
200211,6080
200212,7860
200213,8300
200214,21100
200215,6870
200216,3370
200217,1150
200218,10300
200219,1200
200220,2530
200221,7590
200222,2450
200223,797
200224,13500
200225,3640
200226,1240
200227,8720
200228,215
200229,6930
200230,9000
200231,4880
200232,951
200233,7430
200234,419
200235,8170
200236,8310
200237,4910
200238,7480
200239,8980
200240,24100
200241,10800
200242,3880
200243,2690
200244,6110
200245,4180
200246,5060
200247,1450
200248,253
200249,11500
200250,29300
200251,10300
200252,694
200253,9240
200254,11000
200255,7520
200256,2270
200257,9900
200258,4100
200259,7860
200260,1530
200261,4140
200262,2560
200263,9270
200264,6610
200265,5530
200266,1360
200267,13900
200268,7260
200269,3570
200270,9780
200271,2600
200272,2380
200273,17100
200274,421
200275,14800
200276,1940
200277,2840
200278,1670
200279,9180
200280,2660
200281,764
200282,12200
200283,6090
200284,417
200285,5440
200286,2080
200287,12100
200288,12700
200289,3120
200290,7440
200291,8740
200292,1790
200293,8600
200294,6670
200295,1240
200296,2930
200297,7620
200298,1450
200299,4400
200300,5070
200301,5110
200302,1490
200303,6670
200304,2290
200305,3900
200306,1540
200307,15000
200308,1350
200309,1080
200310,1090
200311,1190
200312,10900
200313,1690
200314,3870
200315,1070
200316,40100
200317,2720
200318,439
200319,10200
200320,2870
200321,30400
200322,18100
200323,1460
200324,26200
200325,6150
200326,2080
200327,19500
200328,479
200329,7930
200330,1910
200331,1530
200332,12100
200333,1240
200334,506
200335,1400
200336,1400
200337,894
200338,1700
200339,12900
200340,27600
200341,2720
200342,6580
200343,1760
200344,5550
200345,6670
200346,1000
200347,11800
200348,10000
200349,765
200350,10000
200351,2370
200352,653
200353,1370
200354,3530
200355,441
200356,3770
200357,1650
200358,3130
200359,8020
200360,15900
200361,1760
200362,2130
200363,1400
200364,7300
200365,9020
200366,1060
200367,5540
200368,6880
200369,5590
200370,937
200371,9840
200372,868
200373,1230
200374,859
200375,1250
200376,2510
200377,1960
200378,1480
200379,1800
200380,796
200381,4050
200382,37600
200383,1520
200384,2990
200385,753
200386,1210
200387,3800
200388,6960
200389,5140
200390,350
200391,3340
200392,1130
200393,2890
200394,2930
200395,104
200396,2630
200397,953
200398,2000
200399,736
200400,2060
200401,5170
200402,1590
200403,3380
200404,674
200405,671
200406,2290
200407,1310
200408,6950
200409,12900
200410,8710
200411,1510
200412,19200
200413,11200
200414,4410
200415,9490
200416,8340
200417,1820
200418,1080
200419,17300
200420,18600
200421,1270
200422,1440
200423,1090
200424,56300
200425,9100
200426,3540
200427,18500
200428,1440
200429,4790
200430,2950
200431,2750
200432,4150
200433,15700
200434,656
200435,4700
200436,10400
200437,836
200438,179
200439,1140
200440,1470
200441,1010
200442,1230
200443,6830
200444,1410
200445,3180
200446,3890
200447,6060
200448,14200
200449,1280
200450,2300
200451,1070
200452,3640
200453,3360
200454,969
200455,8560
200456,1170
200457,1340
200458,721
200459,4220
200460,2920
200461,3490
200462,5100
200463,8300
200464,986
200465,9370
200466,2230
200467,2890
200468,2250
200469,197
200470,10000
200471,418
200472,7060
200473,51300
200474,1530
200475,3860
200476,11900
200477,5370
200478,4860
200479,1170
200480,5610
200481,1650
200482,1540
200483,2660
200484,2200
200485,5080
200486,5610
200487,8730
200488,1020
200489,5400
200490,8370
200491,8580
200492,19800
200493,93
200494,2470
200495,5720
200496,391
200497,500
200498,18800
200499,746
200500,6150
200501,4280
200502,1910
200503,302
200504,2500
200505,5720
200506,129
200507,3850
200508,2090
200509,1110
200510,7870
200511,9950
200512,25200
200513,14900
200514,10700
200515,693
200516,23500
200517,8120
200518,2450
200519,13500
200520,1550
200521,23800
200522,145
200523,4120
200524,8280
200525,466
200526,409
200527,3290
200528,3740
200529,604
200530,7460
200531,13500
200532,1290
200533,20600
200534,1160
200535,231
200536,1040
200537,887
200538,3790
200539,6500
200540,2540
200541,2860
200542,2380
200543,4250
200544,534
200545,4130
200546,6840
200547,4450
200548,4310
200549,13700
200550,8980
200551,410
