SaleID,price
200000,1268
200001,1745
200002,7411
200003,1165
200004,1888
200005,1367
200006,453
200007,3270
200008,13459
200009,599
200010,622
200011,2768
200012,5179
200013,7504
200014,1438
200015,270
200016,1776
200017,8064
200018,6692
200019,507
200020,23545
200021,6589
200022,2128
200023,1602
200024,873
200025,9061
200026,496
200027,12089
200028,4038
200029,7807
200030,17618
200031,12803
200032,595
200033,13584
200034,592
200035,1990
200036,14389
200037,5570
200038,1609
200039,323
200040,602
200041,23075
200042,399
200043,6891
200044,19533
200045,568
200046,16267
200047,16706
200048,2089
200049,3348
200050,637
200051,4194
200052,2905
200053,457
200054,13874
200055,11266
200056,5903
200057,3503
200058,1055
200059,5220
200060,8267
200061,1173
200062,5009
200063,8349
200064,1213
200065,1686
200066,503
200067,11892
200068,193
200069,19216
200070,9115
200071,309
200072,6402
200073,15743
200074,4050
200075,10126
200076,2725
200077,281
200078,339
200079,2979
200080,3608
200081,2103
200082,3598
200083,438
200084,1333
200085,1457
200086,6634
200087,3439
200088,2810
200089,36646
200090,2831
200091,191
200092,1722
200093,16449
200094,7189
200095,5852
200096,2525
200097,1292
200098,381
200099,26679
200100,21906
200101,8459
200102,1750
200103,10219
200104,5468
200105,3940
200106,8469
200107,2032
200108,12762
200109,8572
200110,683
200111,1827
200112,1798
200113,532
200114,2204
200115,1321
200116,13735
200117,15019
200118,49033
200119,203
200120,2907
200121,2513
200122,715
200123,2430
200124,60147
200125,628
200126,3480
200127,14325
200128,1645
200129,5984
200130,3952
200131,2895
200132,1324
200133,2517
200134,1432
200135,3424
200136,3637
200137,702
200138,9770
200139,6958
200140,2842
200141,1427
200142,6119
200143,5583
200144,1290
200145,6036
200146,2368
200147,4173
200148,2574
200149,199
200150,10564
200151,4773
200152,549
200153,501
200154,7334
200155,2245
200156,15976
200157,8408
200158,11281
200159,1899
200160,6927
200161,7164
200162,6255
200163,621
200164,16868
200165,15541
200166,25763
200167,3512
200168,42381
200169,780
200170,2563
200171,8326
200172,2108
200173,32901
200174,714
200175,2675
200176,7746
200177,6142
200178,4891
200179,3573
200180,917
200181,16686
200182,4456
200183,1431
200184,2200
200185,4619
